x,y,for_cover_km2
4510349.2981,2669313.2586,10.256
4510349.2981,2664313.2586,15.464
4510349.2981,2659313.2586,21.026
4510349.2981,2654313.2586,11.453
4510349.2981,2649313.2586,17.63
4510349.2981,2644313.2586,1.011
4510349.2981,2639313.2586,2.747
4510349.2981,2634313.2586,17.579
4510349.2981,2629313.2586,22.037
4510349.2981,2624313.2586,3.068
4515349.2981,2729313.2586,0
4515349.2981,2724313.2586,18.658
4515349.2981,2719313.2586,14.175
4515349.2981,2714313.2586,19.02
4515349.2981,2709313.2586,17.124
4515349.2981,2704313.2586,4.584
4515349.2981,2674313.2586,0
4515349.2981,2669313.2586,0.329
4515349.2981,2664313.2586,3.034
4515349.2981,2659313.2586,14.975
4515349.2981,2654313.2586,23.242
4515349.2981,2649313.2586,19.366
4515349.2981,2644313.2586,3.219
4515349.2981,2639313.2586,10.635
4515349.2981,2634313.2586,19.332
4515349.2981,2629313.2586,18.211
4515349.2981,2624313.2586,11.276
4515349.2981,2619313.2586,0.135
4520349.2981,2724313.2586,2.048
4520349.2981,2719313.2586,1.112
4520349.2981,2714313.2586,11.739
4520349.2981,2674313.2586,0
4520349.2981,2669313.2586,0.742
4520349.2981,2664313.2586,7.045
4520349.2981,2659313.2586,20.512
4520349.2981,2654313.2586,12.118
4520349.2981,2649313.2586,23.36
4520349.2981,2644313.2586,14.655
4520349.2981,2639313.2586,16.804
4520349.2981,2634313.2586,17.773
4520349.2981,2629313.2586,12.447
4520349.2981,2624313.2586,14.36
4520349.2981,2619313.2586,0
4525349.2981,2669313.2586,0
4525349.2981,2664313.2586,0.438
4525349.2981,2659313.2586,1.896
4525349.2981,2654313.2586,0.16
4525349.2981,2649313.2586,6.952
4525349.2981,2644313.2586,20.166
4525349.2981,2639313.2586,22.711
4525349.2981,2634313.2586,13.382
4525349.2981,2629313.2586,10.745
4525349.2981,2624313.2586,5.554
4530349.2981,2664313.2586,0
4530349.2981,2654313.2586,0.64
4530349.2981,2649313.2586,8.891
4530349.2981,2644313.2586,12.86
4530349.2981,2639313.2586,18.928
4530349.2981,2634313.2586,6.531
4535349.2981,2654313.2586,0
4535349.2981,2649313.2586,3.834
4535349.2981,2644313.2586,16.686
4535349.2981,2639313.2586,17.942
4535349.2981,2634313.2586,6.413
4540349.2981,2644313.2586,2.2
4540349.2981,2639313.2586,16.964
4540349.2981,2634313.2586,5.393
4545349.2981,2639313.2586,3.228
4545349.2981,2634313.2586,1.39
